mencari_sebelum_lulus,jumlah_lamaran,comp_it,comp_inggris,comp_komunikasi,comp_kerjasama,status,target
0,0,5.0,5.0,5.0,5.0,Bekerja,1
0,4,4.0,4.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
0,4,5.0,5.0,5.0,5.0,Bekerja,1
1,4,3.0,3.0,4.0,5.0,Wirausaha,1
0,10,5.0,4.0,5.0,5.0,Bekerja,1
1,0,3.0,1.0,3.0,2.0,Bekerja,1
1,2,4.0,3.0,4.0,5.0,Bekerja,1
0,3,4.0,5.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,4,5.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,3,5.0,5.0,5.0,5.0,Bekerja,1
1,2,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,4,3.0,2.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,5,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,3,3.0,3.0,3.0,5.0,Belum Bekerja / Mencari Kerja,0
0,2,5.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
1,3,4.0,4.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
1,2,5.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,1,4.0,5.0,5.0,5.0,Bekerja,1
0,32,3.0,2.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,5.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,1,3.0,3.0,3.0,3.0,Bekerja,1
0,1,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,3,4.0,3.0,4.0,5.0,Bekerja,1
0,20,5.0,4.0,3.0,4.0,Bekerja,1
1,4,4.0,4.0,5.0,5.0,Bekerja,1
1,0,4.0,2.0,3.0,4.0,Bekerja,1
0,4,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,2,3.0,3.0,3.0,3.0,Bekerja,1
1,4,3.0,3.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
1,3,4.0,3.0,5.0,5.0,Bekerja,1
0,2,3.0,3.0,3.0,3.0,Bekerja,1
0,0,3.0,3.0,5.0,4.0,Belum Bekerja / Mencari Kerja,0
1,3,3.0,3.0,5.0,5.0,Bekerja,1
0,0,4.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,4,5.0,4.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
1,3,5.0,4.0,5.0,5.0,Bekerja,1
0,2,4.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,3,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,1,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,0,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,3,4.0,4.0,4.0,4.0,Bekerja,1
0,0,3.0,3.0,4.0,4.0,Wirausaha,1
1,2,5.0,4.0,5.0,5.0,Bekerja,1
0,1,3.0,1.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,0,3.0,3.0,3.0,3.0,Melanjutkan Pendidikan,1
0,1,3.0,3.0,3.0,3.0,Bekerja,1
0,0,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
1,2,5.0,4.0,5.0,5.0,Bekerja,1
0,0,3.0,2.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
0,4,5.0,4.0,5.0,5.0,Bekerja,1
0,1,5.0,5.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,1,4.0,3.0,4.0,5.0,Bekerja,1
1,3,3.0,2.0,4.0,5.0,Bekerja,1
0,4,3.0,3.0,3.0,3.0,Bekerja,1
0,2,3.0,3.0,4.0,3.0,Wirausaha,1
1,3,4.0,3.0,4.0,4.0,Bekerja,1
1,3,5.0,5.0,5.0,5.0,Wirausaha,1
0,0,3.0,3.0,5.0,5.0,Bekerja,1
0,3,3.0,4.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
0,3,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
1,3,4.0,4.0,4.0,5.0,Bekerja,1
0,0,5.0,4.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
0,4,3.0,3.0,3.0,3.0,Bekerja,1
0,0,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,1,3.0,1.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
0,3,4.0,1.0,4.0,4.0,Wirausaha,1
0,0,3.0,4.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,3,3.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,4,4.0,3.0,3.0,4.0,Bekerja,1
1,1,4.0,3.0,4.0,4.0,Bekerja,1
0,3,3.0,3.0,3.0,3.0,Wirausaha,1
1,2,3.0,3.0,3.0,4.0,Bekerja,1
1,4,5.0,5.0,5.0,4.0,Bekerja,1
1,0,3.0,4.0,3.0,3.0,Bekerja,1
1,2,4.0,3.0,4.0,3.0,Wirausaha,1
0,1,3.0,3.0,3.0,3.0,Bekerja,1
1,2,5.0,3.0,5.0,5.0,Bekerja,1
0,4,4.0,3.0,3.0,3.0,Bekerja,1
0,0,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,4,4.0,4.0,4.0,4.0,Bekerja,1
0,1,3.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,0,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,0,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,2,5.0,2.0,3.0,5.0,Bekerja,1
0,2,5.0,3.0,5.0,5.0,Bekerja,1
0,10,3.0,3.0,3.0,3.0,Bekerja,1
0,0,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,2.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,0,5.0,3.0,5.0,5.0,Bekerja,1
0,0,5.0,3.0,3.0,4.0,Bekerja,1
0,1,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,1,4.0,3.0,4.0,5.0,Bekerja,1
0,12,4.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,10,4.0,3.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
1,3,5.0,4.0,5.0,5.0,Bekerja,1
0,0,5.0,3.0,5.0,5.0,Wirausaha,1
0,3,4.0,4.0,4.0,4.0,Bekerja,1
1,2,4.0,2.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
1,4,4.0,3.0,3.0,4.0,Bekerja,1
0,3,5.0,3.0,4.0,4.0,Bekerja,1
0,0,4.0,3.0,4.0,4.0,Bekerja,1
0,0,5.0,3.0,5.0,5.0,Bekerja,1
0,0,4.0,3.0,4.0,4.0,Bekerja,1
0,7,5.0,3.0,5.0,5.0,Bekerja,1
0,0,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,4,4.0,4.0,4.0,3.0,Belum Bekerja / Mencari Kerja,0
0,0,5.0,4.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
1,2,5.0,4.0,5.0,5.0,Bekerja,1
0,7,5.0,3.0,5.0,5.0,Bekerja,1
0,0,5.0,5.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,4,3.0,2.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,0,4.0,3.0,4.0,4.0,Wirausaha,1
1,1,4.0,3.0,5.0,5.0,Wirausaha,1
0,4,4.0,3.0,5.0,5.0,Bekerja,1
0,2,4.0,3.0,4.0,4.0,Bekerja,1
0,4,4.0,3.0,2.0,4.0,Belum Bekerja / Mencari Kerja,0
1,4,3.0,3.0,5.0,5.0,Bekerja,1
0,3,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,4,4.0,4.0,4.0,4.0,Bekerja,1
0,4,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,10,4.0,2.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,5.0,5.0,4.0,Bekerja,1
0,3,4.0,3.0,4.0,4.0,Bekerja,1
1,1,3.0,3.0,4.0,4.0,Bekerja,1
0,4,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,1,3.0,3.0,4.0,4.0,Bekerja,1
1,30,5.0,2.0,4.0,4.0,Bekerja,1
0,1,4.0,4.0,4.0,3.0,Bekerja,1
0,0,4.0,4.0,4.0,4.0,Wirausaha,1
0,0,4.0,4.0,4.0,4.0,Bekerja,1
0,3,5.0,4.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
0,3,5.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,1,3.0,2.0,3.0,3.0,Bekerja,1
0,6,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,4,4.0,2.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,4.0,4.0,4.0,Bekerja,1
1,1,5.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
1,1,3.0,3.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
1,3,4.0,4.0,4.0,4.0,Bekerja,1
0,0,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,0,5.0,5.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,2,3.0,3.0,3.0,3.0,Wirausaha,1
1,3,5.0,5.0,5.0,5.0,Wirausaha,1
0,1,5.0,5.0,5.0,5.0,Bekerja,1
0,3,5.0,5.0,5.0,5.0,Bekerja,1
0,0,5.0,5.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,1,4.0,4.0,4.0,5.0,Bekerja,1
1,4,4.0,3.0,4.0,4.0,Bekerja,1
1,0,4.0,4.0,4.0,4.0,Bekerja,1
0,1,3.0,3.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
0,0,4.0,3.0,4.0,4.0,Bekerja,1
1,1,3.0,3.0,3.0,3.0,Bekerja,1
0,4,3.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,2,3.0,3.0,3.0,3.0,Bekerja,1
0,4,4.0,4.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,4,3.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,4,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,3,4.0,3.0,4.0,4.0,Bekerja,1
0,3,4.0,4.0,4.0,4.0,Bekerja,1
0,2,5.0,3.0,4.0,3.0,Belum Bekerja / Mencari Kerja,0
1,2,3.0,3.0,3.0,3.0,Bekerja,1
1,2,4.0,3.0,4.0,4.0,Bekerja,1
1,1,4.0,3.0,4.0,4.0,Bekerja,1
0,1,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,3,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,1,3.0,3.0,5.0,5.0,Bekerja,1
1,4,4.0,4.0,4.0,4.0,Bekerja,1
0,0,5.0,4.0,1.0,2.0,Belum Bekerja / Mencari Kerja,0
0,0,3.0,3.0,3.0,3.0,Wirausaha,1
0,0,3.0,3.0,3.0,3.0,Wirausaha,1
1,2,5.0,3.0,5.0,5.0,Bekerja,1
0,3,3.0,2.0,3.0,3.0,Bekerja,1
1,1,4.0,3.0,5.0,4.0,Bekerja,1
0,0,3.0,3.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
0,3,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,0,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
1,1,4.0,4.0,4.0,4.0,Bekerja,1
1,1,3.0,3.0,3.0,3.0,Bekerja,1
0,3,5.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,5.0,4.0,4.0,Bekerja,1
0,1,4.0,3.0,4.0,4.0,Bekerja,1
0,0,2.0,2.0,2.0,2.0,Belum Bekerja / Mencari Kerja,0
1,4,4.0,3.0,5.0,5.0,Bekerja,1
0,0,4.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
1,1,5.0,4.0,5.0,5.0,Bekerja,1
0,1,5.0,5.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,4,5.0,5.0,5.0,5.0,Bekerja,1
1,1,3.0,3.0,3.0,3.0,Bekerja,1
0,2,4.0,4.0,4.0,4.0,Wirausaha,1
0,2,4.0,4.0,4.0,4.0,Bekerja,1
1,1,4.0,3.0,4.0,4.0,Bekerja,1
0,0,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,4,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,4,4.0,4.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
1,1,2.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,3,3.0,2.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,4,4.0,2.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,0,4.0,3.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
1,1,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,3,3.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,1,3.0,3.0,3.0,3.0,Bekerja,1
0,2,4.0,4.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
1,3,4.0,3.0,5.0,5.0,Bekerja,1
0,0,4.0,3.0,3.0,3.0,Melanjutkan Pendidikan,1
0,4,5.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,1,3.0,2.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,2,3.0,2.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,0,4.0,3.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
1,2,5.0,2.0,3.0,4.0,Bekerja,1
1,3,3.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,4,5.0,5.0,4.0,3.0,Belum Bekerja / Mencari Kerja,0
0,0,3.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,1,5.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,4.0,4.0,4.0,Bekerja,1
0,0,4.0,5.0,3.0,4.0,Melanjutkan Pendidikan,1
1,3,4.0,3.0,4.0,4.0,Bekerja,1
0,1,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,4,4.0,4.0,4.0,4.0,Bekerja,1
0,3,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,1,4.0,4.0,4.0,4.0,Wirausaha,1
1,1,3.0,3.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
0,1,4.0,4.0,4.0,5.0,Bekerja,1
0,0,3.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,1,5.0,4.0,5.0,4.0,Wirausaha,1
0,2,4.0,3.0,4.0,4.0,Bekerja,1
1,0,5.0,3.0,4.0,5.0,Bekerja,1
0,2,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,1,4.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,5,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,5,3.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,5,4.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
1,4,4.0,5.0,5.0,4.0,Bekerja,1
0,0,3.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,2,4.0,3.0,4.0,3.0,Bekerja,1
1,4,5.0,4.0,4.0,3.0,Bekerja,1
1,3,4.0,3.0,4.0,4.0,Bekerja,1
1,2,5.0,3.0,4.0,5.0,Bekerja,1
0,8,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,2,4.0,4.0,4.0,4.0,Bekerja,1
0,0,4.0,4.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
1,1,5.0,4.0,4.0,5.0,Bekerja,1
1,1,4.0,3.0,4.0,4.0,Bekerja,1
0,0,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,2,5.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,4,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,4,3.0,3.0,3.0,3.0,Bekerja,1
1,3,3.0,4.0,4.0,4.0,Bekerja,1
0,10,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,2,3.0,4.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
0,5,5.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,1,4.0,4.0,4.0,4.0,Bekerja,1
0,1,3.0,2.0,3.0,4.0,Wirausaha,1
0,4,4.0,3.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
0,2,5.0,4.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
1,1,5.0,4.0,5.0,5.0,Bekerja,1
0,2,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
1,1,5.0,3.0,5.0,5.0,Bekerja,1
1,1,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,5.0,3.0,3.0,Bekerja,1
0,2,3.0,2.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,4,4.0,3.0,2.0,3.0,Bekerja,1
1,1,3.0,3.0,3.0,4.0,Bekerja,1
0,0,5.0,5.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,1,4.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,0,3.0,2.0,3.0,5.0,Bekerja,1
0,2,4.0,3.0,4.0,4.0,Bekerja,1
1,3,5.0,3.0,4.0,4.0,Bekerja,1
0,10,3.0,2.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,0,3.0,3.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
1,0,4.0,3.0,4.0,4.0,Bekerja,1
0,0,4.0,4.0,5.0,5.0,Bekerja,1
0,3,3.0,3.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
0,1,5.0,5.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,4.0,4.0,4.0,Wirausaha,1
0,0,3.0,3.0,3.0,3.0,Wirausaha,1
1,3,5.0,4.0,5.0,4.0,Bekerja,1
0,3,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,0,4.0,2.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,3,4.0,4.0,4.0,4.0,Bekerja,1
1,1,5.0,3.0,5.0,5.0,Bekerja,1
0,4,4.0,3.0,4.0,4.0,Bekerja,1
0,0,4.0,3.0,4.0,4.0,Bekerja,1
0,0,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
1,3,3.0,3.0,3.0,3.0,Bekerja,1
1,1,5.0,4.0,4.0,4.0,Bekerja,1
0,0,4.0,3.0,4.0,4.0,Wirausaha,1
1,2,3.0,3.0,3.0,4.0,Bekerja,1
0,2,4.0,4.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
0,4,5.0,5.0,5.0,4.0,Bekerja,1
0,1,3.0,4.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
1,2,4.0,3.0,5.0,5.0,Wirausaha,1
1,2,4.0,4.0,4.0,4.0,Bekerja,1
0,0,4.0,3.0,5.0,4.0,Wirausaha,1
0,1,4.0,3.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
0,2,5.0,4.0,5.0,5.0,Bekerja,1
0,2,4.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,1,3.0,3.0,4.0,3.0,Belum Bekerja / Mencari Kerja,0
0,2,3.0,2.0,3.0,3.0,Bekerja,1
0,0,4.0,3.0,5.0,5.0,Wirausaha,1
0,1,3.0,2.0,3.0,4.0,Bekerja,1
0,1,4.0,3.0,4.0,4.0,Bekerja,1
1,4,4.0,3.0,4.0,5.0,Bekerja,1
0,3,5.0,5.0,5.0,5.0,Bekerja,1
1,2,4.0,4.0,4.0,4.0,Bekerja,1
0,4,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,1,5.0,4.0,5.0,5.0,Bekerja,1
0,2,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,2,5.0,5.0,5.0,5.0,Bekerja,1
1,2,5.0,4.0,4.0,4.0,Bekerja,1
0,2,5.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,6,4.0,5.0,5.0,5.0,Bekerja,1
1,3,3.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,3,3.0,3.0,5.0,5.0,Bekerja,1
0,0,5.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,4,3.0,2.0,3.0,3.0,Bekerja,1
0,10,4.0,3.0,4.0,4.0,Bekerja,1
1,0,5.0,2.0,4.0,4.0,Bekerja,1
1,4,4.0,4.0,4.0,4.0,Bekerja,1
0,4,4.0,3.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
1,2,5.0,5.0,4.0,4.0,Bekerja,1
0,4,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,0,4.0,3.0,3.0,5.0,Bekerja,1
1,1,4.0,3.0,5.0,5.0,Bekerja,1
0,2,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,2,3.0,3.0,4.0,4.0,Bekerja,1
0,0,4.0,3.0,4.0,4.0,Bekerja,1
0,12,4.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,10,4.0,3.0,4.0,5.0,Bekerja,1
0,0,3.0,3.0,3.0,5.0,Bekerja,1
0,1,3.0,3.0,4.0,4.0,Wirausaha,1
0,10,4.0,4.0,4.0,4.0,Bekerja,1
0,3,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
1,3,4.0,4.0,4.0,4.0,Bekerja,1
0,2,3.0,3.0,3.0,4.0,Bekerja,1
0,7,4.0,3.0,4.0,4.0,Bekerja,1
1,4,4.0,3.0,4.0,4.0,Bekerja,1
1,3,4.0,3.0,4.0,4.0,Wirausaha,1
0,4,4.0,3.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
0,3,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,4.0,5.0,5.0,Bekerja,1
1,10,4.0,5.0,5.0,4.0,Bekerja,1
1,1,5.0,4.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,3,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,3,4.0,3.0,5.0,4.0,Belum Bekerja / Mencari Kerja,0
0,1,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,0,4.0,3.0,4.0,4.0,Wirausaha,1
0,0,5.0,3.0,5.0,5.0,Wirausaha,1
1,2,3.0,2.0,4.0,5.0,Bekerja,1
0,60,4.0,3.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
1,2,3.0,3.0,3.0,5.0,Bekerja,1
0,2,5.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,2,3.0,4.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,8,5.0,5.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
1,0,4.0,5.0,3.0,4.0,Bekerja,1
1,10,5.0,3.0,5.0,4.0,Bekerja,1
0,0,3.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,0,3.0,3.0,3.0,3.0,Belum Bekerja / Mencari Kerja,0
0,2,5.0,2.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
0,4,3.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,4,5.0,3.0,5.0,4.0,Belum Bekerja / Mencari Kerja,0
1,4,3.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,4,4.0,4.0,5.0,5.0,Bekerja,1
0,1,3.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,2,3.0,4.0,5.0,4.0,Belum Bekerja / Mencari Kerja,0
0,4,5.0,4.0,5.0,5.0,Bekerja,1
0,1,3.0,4.0,3.0,3.0,Bekerja,1
1,2,3.0,2.0,3.0,3.0,Bekerja,1
0,1,5.0,5.0,5.0,5.0,Bekerja,1
1,3,4.0,3.0,4.0,4.0,Bekerja,1
1,1,4.0,3.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
0,4,5.0,4.0,5.0,5.0,Bekerja,1
1,2,4.0,4.0,4.0,4.0,Bekerja,1
0,3,4.0,3.0,4.0,5.0,Bekerja,1
0,3,4.0,3.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,4.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
1,3,4.0,5.0,4.0,5.0,Bekerja,1
0,2,5.0,5.0,5.0,5.0,Bekerja,1
0,7,3.0,3.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
1,1,4.0,4.0,5.0,4.0,Bekerja,1
0,2,4.0,3.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
1,2,4.0,4.0,4.0,4.0,Bekerja,1
0,2,2.0,2.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
0,16,4.0,3.0,5.0,5.0,Bekerja,1
0,2,4.0,3.0,3.0,4.0,Belum Bekerja / Mencari Kerja,0
1,7,5.0,3.0,5.0,5.0,Bekerja,1
1,3,4.0,4.0,4.0,5.0,Bekerja,1
1,4,2.0,2.0,3.0,3.0,Bekerja,1
0,1,4.0,4.0,5.0,5.0,Bekerja,1
1,1,4.0,3.0,4.0,4.0,Bekerja,1
0,3,5.0,3.0,5.0,5.0,Bekerja,1
0,4,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,1,3.0,3.0,3.0,4.0,Bekerja,1
0,0,4.0,4.0,4.0,4.0,Wirausaha,1
0,2,4.0,4.0,4.0,4.0,Belum Bekerja / Mencari Kerja,0
0,2,3.0,3.0,4.0,5.0,Belum Bekerja / Mencari Kerja,0
0,2,4.0,4.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
0,2,5.0,4.0,5.0,5.0,Belum Bekerja / Mencari Kerja,0
